year,quarter,statement,market,endpoint,status,matched_companies
2022,1,income_statement,otc,ajax_t163sb04,ok,4
2022,1,balance_sheet,sii,ajax_t163sb05,ok,31
2022,1,balance_sheet,otc,ajax_t163sb05,ok,4
2022,1,cash_flow,sii,ajax_t163sb20,ok,31
2022,1,cash_flow,otc,ajax_t163sb20,ok,4
2022,2,income_statement,sii,ajax_t163sb04,ok,31
2022,2,income_statement,otc,ajax_t163sb04,ok,5
2022,2,balance_sheet,sii,ajax_t163sb05,ok,31
2022,2,balance_sheet,otc,ajax_t163sb05,ok,5
2022,2,cash_flow,sii,ajax_t163sb20,ok,31
2022,2,cash_flow,otc,ajax_t163sb20,ok,5
2022,3,income_statement,sii,ajax_t163sb04,ok,31
2022,3,income_statement,otc,ajax_t163sb04,ok,5
2022,3,balance_sheet,sii,ajax_t163sb05,ok,31
2022,3,balance_sheet,otc,ajax_t163sb05,ok,5
2022,3,cash_flow,sii,ajax_t163sb20,ok,31
2022,3,cash_flow,otc,ajax_t163sb20,ok,5
2022,4,income_statement,sii,ajax_t163sb04,ok,31
2022,4,income_statement,otc,ajax_t163sb04,ok,5
2022,4,balance_sheet,sii,ajax_t163sb05,ok,31
2022,4,balance_sheet,otc,ajax_t163sb05,ok,5
2022,4,cash_flow,sii,ajax_t163sb20,ok,31
2022,4,cash_flow,otc,ajax_t163sb20,ok,5
2023,1,income_statement,sii,ajax_t163sb04,ok,31
2023,1,income_statement,otc,ajax_t163sb04,ok,5
2023,1,balance_sheet,sii,ajax_t163sb05,ok,31
2023,1,balance_sheet,otc,ajax_t163sb05,ok,5
2023,1,cash_flow,sii,ajax_t163sb20,ok,31
2023,1,cash_flow,otc,ajax_t163sb20,ok,5
2023,2,income_statement,sii,ajax_t163sb04,ok,31
2023,2,income_statement,otc,ajax_t163sb04,ok,5
2023,2,balance_sheet,sii,ajax_t163sb05,ok,31
2023,2,balance_sheet,otc,ajax_t163sb05,ok,5
2023,2,cash_flow,sii,ajax_t163sb20,ok,31
2023,2,cash_flow,otc,ajax_t163sb20,ok,5
2023,3,income_statement,sii,ajax_t163sb04,ok,31
2023,3,income_statement,otc,ajax_t163sb04,ok,5
2023,3,balance_sheet,sii,ajax_t163sb05,ok,31
